날짜,지점,평균기온,최저기온,최고기온
2020-07-01,108,21.1,18.1,24.3
2020-07-02,108,24.2,20.4,29.8
2020-07-03,108,25.5,21.6,30.6
2020-07-04,108,24.2,20.4,29.5
2020-07-05,108,23.8,19.9,27.6
2020-07-06,108,25.6,21.8,30.9
2020-07-07,108,24.1,22.1,28.1
2020-07-08,108,25.5,21.3,30.4
2020-07-09,108,27.5,21.8,32.9
2020-07-10,108,24.5,22.7,27.7
2020-07-11,108,25.8,22.2,30.2
2020-07-12,108,23.5,21.7,26
2020-07-13,108,18.7,17.7,21.7
2020-07-14,108,20.3,17.2,24.3
2020-07-15,108,23.4,18.9,28.7
2020-07-16,108,25,20.4,29.7
2020-07-17,108,26,21.5,31.6
2020-07-18,108,26.1,22.8,31
2020-07-19,108,24,20.6,26.6
2020-07-20,108,23.8,22.4,26.6
2020-07-21,108,25,21.4,30.5
2020-07-22,108,23.7,22.6,25.7
2020-07-23,108,21.1,18.5,22.6
2020-07-24,108,22.5,18.7,26.8
2020-07-25,108,24.3,22.3,29
2020-07-26,108,25.4,21.6,29.6
2020-07-27,108,24.3,22.9,25.5
2020-07-28,108,24.4,22.7,26.4
2020-07-29,108,23.7,22.6,24.9
2020-07-30,108,25.3,23.4,28.4
2020-07-31,108,26.2,22.8,29.6
